as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 500,000905,002670,002670.SZ,国盛证券,GUOSHENG SECURITIES Inc.,Shenzhen Stock Exchange,深圳证券交易所,0.064
2026-06-04,CSI 500,000905,002673,002673.SZ,西部证券,"WESTERN SECURITIES CO., LTD",Shenzhen Stock Exchange,深圳证券交易所,0.168
2026-06-04,CSI 500,000905,002683,002683.SZ,广东宏大,"Guangdong Hongda Holdings Group Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.139
2026-06-04,CSI 500,000905,002738,002738.SZ,中矿资源,"Sinomine Resource Group Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.424
2026-06-04,CSI 500,000905,002739,002739.SZ,儒意电影,Ruyi Film Entertainment Company Limited,Shenzhen Stock Exchange,深圳证券交易所,0.129
2026-06-04,CSI 500,000905,002756,002756.SZ,永兴材料,"Yongxing Special Materials Technology Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.224
2026-06-04,CSI 500,000905,002773,002773.SZ,康弘药业,"Chengdu Kanghong Pharmaceutical Group Co., Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.073
2026-06-04,CSI 500,000905,002797,002797.SZ,第一创业,"First Capital Securities Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.279
2026-06-04,CSI 500,000905,002821,002821.SZ,凯莱英,"Asymchem Laboratories (Tianjin) Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.223
2026-06-04,CSI 500,000905,002831,002831.SZ,裕同科技,"ShenZhen YUTO Packaging Technology Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.135
2026-06-04,CSI 500,000905,002837,002837.SZ,英维克,"SHENZHEN ENVICOOL TECHNOLOGY CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.502
2026-06-04,CSI 500,000905,002841,002841.SZ,视源股份,Guangzhou Shiyuan Electronic Technology Company Limited,Shenzhen Stock Exchange,深圳证券交易所,0.145
2026-06-04,CSI 500,000905,002850,002850.SZ,科达利,"Shenzhen Kedali Industry Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.316
2026-06-04,CSI 500,000905,002851,002851.SZ,麦格米特,"Shenzhen Megmeet Electrical Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.487
2026-06-04,CSI 500,000905,002926,002926.SZ,华西证券,"Huaxi Securities Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.121
2026-06-04,CSI 500,000905,002939,002939.SZ,长城证券,"CHINA GREAT WALL SECURITIES CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.13
2026-06-04,CSI 500,000905,002945,002945.SZ,华林证券,"ChinaLin Securities Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.037
2026-06-04,CSI 500,000905,002958,002958.SZ,青农商行,Qingdao Rural Commercial Bank Corporation,Shenzhen Stock Exchange,深圳证券交易所,0.121
2026-06-04,CSI 500,000905,002966,002966.SZ,苏州银行,"BANK OF SUZHOU CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.346
2026-06-04,CSI 500,000905,002984,002984.SZ,森麒麟,"QINGDAO SENTURY TIRE CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.09
2026-06-04,CSI 500,000905,003021,003021.SZ,兆威机电,"SHENZHEN ZHAOWEI MACHINERY&ELECTRONIC CO.,LTD",Shenzhen Stock Exchange,深圳证券交易所,0.088
